IPA,feature_string
ɒ,+---++0+---+--++--000-+-+-+000
ɑ,+---++0+---+------000-+-+-+000
ɶ,+---++0+---+--++--000-+-++-000
a,+---++0+---+------000-+-+--000
æ,+---++0+---+------000-+-++-000
ɐ,+---++0+---+------000-+-+--000
ä,+---++0+---+------000-+----000
ʌ,+---++0+---+------000-+---+-00
ɔ,+---++0+---+--++--000-+---+-00
o,+---++0+---+--++--000-+---++00
ɤ,+---++0+---+------000-+---++00
ɘ,+---++0+---+------000-+----+00
œ,+---++0+---+--++--000-+--+--00
ə,+---++0+---+------000-+-----00
e,+---++0+---+------000-+--+-+00
ɜ,+---++0+---+------000-+-----00
ɞ,+---++0+---+--++--000-+-----00
ø,+---++0+---+--++--000-+--+-+00
ɛ,+---++0+---+------000-+--+--00
ɵ,+---++0+---+--++--000-+----+00
ɯ,+---++0+---+------000-++--++00
u,+---++0+---+--++--000-++--++00
ʊ,+---++0+---+--++--000-++--+-00
ɨ,+---++0+---+------000-++---+00
ʉ,+---++0+---+--++--000-++---+00
y,+---++0+---+--++--000-++-+-+00
i,+---++0+---+------000-++-+-+00
ʏ,+---++0+---+--++--000-++-+--00
ɪ,+---++0+---+------000-++-+--00
ŋ,---++-0---++------000-++-+-000
ʟ̟,---+++0+---+------000+++-+-000
ɫ,---+++0+---+-----++--++---+000
ɴ,---++-0---++------000-+---+000
ʀ,---+++0+-+-+------000-+---+000
ɲ,---++-0---++-----+-+--++-+-000
ʎ,---+++0+---+-----+-+-+++-+-000
ʟ,---+++0+---+------000+++-00000
ʟ̠,---+++0+---+------000+++--+000
ɳ,---++-0---++-----+-----0000000
ʙ,---+++0+-+-+--+---000--0000000
ɭ,---+++0+---+-----+---+-0000000
ɺ,---+++0++--+-----++--+-0000000
ɻ,---+++0+---+-----+-----0000000
ɽ,---+++0++--+-----+-----0000000
r,---+++0+-+-+-----++----0000000
n,---++-0---++-----++----0000000
m,---++-0---++--+---000--0000000
l,---+++0+---+-----++--+-0000000
ɾ,---+++0++--+-----++----0000000
ɱ,---++-0---++--+-+-000--0000000
ʔ,---+---------+----000--0000000
ɣ̟,---+-++----+------000-++-+-000
x̟,---+-++-----------000-++-+-000
k̟,---+--------------000-++-+-000
g,---+-------+------000-++-+-000
k̟͡x̟,---+--+-----------000-++-+-000
ɡ̟͡ɣ̟,---+--+----+------000-++-+-000
ħ,---+-++-----------000-+-+-+000
ʕ,---+-+-----+------000-+-+-+000
ʁ,---+-++----+------000-+---+000
q,---+--------------000-+---+000
χ,---+-++-----------000-+---+000
ɢ,---+-------+------000-+---+000
ɕ,---+-++----------++++-++-+-000
ɟ,---+-------+-----+-+--++-+-000
ʝ,---+-++----+-----+-+--++-+-000
c,---+-------------+-+--++-+-000
ç,---+-++----------+-+--++-+-000
d͡ʑ,---+--+----+-----++++-++-+-000
t͡ɕ,---+--+----------++++-++-+-000
ɣ,---+-++----+------000-++-00000
ɣ̠,---+-++----+------000-++--+000
x,---+-++-----------000-++-00000
x̠,---+-++-----------000-++--+000
k,---+--------------000-++-00000
k̠,---+--------------000-++--+000
ɡ,---+-------+------000-++-00000
ɡ̠,---+-------+------000-++--+000
ʑ,---+-++----+-----++++-++-+-000
ʈ,---+-------------+-----0000000
ɖ,---+-------+-----+-----0000000
ɬ,---+-++----------++--+-0000000
ʐ,---+-++----+-----+--+--0000000
ɸ,---+-++-------+---000--0000000
ʂ,---+-++----------+--+--0000000
ʒ,---+-++----+-----+-++--0000000
z,---+-++----+-----++-+--0000000
v,---+-++----+--+-+-000--0000000
t,---+-------------++----0000000
ʃ,---+-++----------+-++--0000000
s,---+-++----------++-+--0000000
p,---+----------+---000--0000000
f,---+-++-------+-+-000--0000000
d,---+-------+-----++----0000000
b,---+-------+--+---000--0000000
θ,---+-++----------+++---0000000
ɮ,---+-++----+-----++--+-0000000
ð,---+-++----+-----+++---0000000
β,---+-++----+--+---000--0000000
d͡ʒ,---+--+----+-----+-++--0000000
d͡z,---+--+----+-----++-+--0000000
d͡ɮ,---+--+----+-----++--+-0000000
d̠͡ɮ̠,---+--+----+-----+-+-+-0000000
t͡ʃ,---+--+----------+-++--0000000
t̠͡ɬ̠,---+--+----------+-+-+-0000000
t͡s,---+--+----------++-+--0000000
t͡ɬ,---+--+----------++--+-0000000
t̪͡s̪,---+--+----------++++--0000000
t̪͡ɬ̪,---+--+----------+++-+-0000000
d̪͡z̪,---+--+----+-----++++--0000000
d̪͡ɮ̪,---+--+----+-----+++-+-0000000
ʈ͡ʂ,---+--+----------+--+--0000000
ɖ͡ʐ,---+--+----+-----+--+--0000000
p͡f,---+--+-------+-+-000--0000000
b͡v,---+--+----+--+-+-000--0000000
p͡ɸ,---+--+-------+---000--0000000
b͡β,---+--+----+--+---000--0000000
t̪͡θ,---+--+----------+++---0000000
d̪͡ð,---+--+----+-----+++---0000000
c͡ç,---+--+----------+-+--++-+-000
ɟ͡ʝ,---+--+----+-----+-+--++-+-000
k͡x,---+--+-----------000-++-00000
k̠͡x̠,---+--+-----------000-++--+000
ɡ͡ɣ,---+--+----+------000-++-00000
ɡ̠͡ɣ̠,---+--+----+------000-++--+000
q͡χ,---+--+-----------000-+---+000
ɢ͡ʁ,---+--+----+------000-+---+000
ɧ,---+-++----------+-++-++-00000
k͡p,---+----------+---000-++-00000
ɡ͡b,---+-------+--+---000-++-00000
p͡t,---+----------+--++-+--0000000
b͡d,---+-------+--+--++-+--0000000
ɰ,----++0+---+------000-++-00+00
ɰ̠,----++0+---+------000-++--++00
w,----++0+---+--++--000-++--++00
ɥ,----++0+---+--++--000-++-+-+00
j,----++0+---+------000-++-+-+00
ɹ,----++0+---+-----+-+---0000000
ʋ,----++0+---+--+-+-000--0000000
ʍ,-----++-----+-++--000-++--++00
ɦ,-----++----++-----000--0000000
h,-----++-----+-----000--0000000
